cat_id ra dec g_Swope_flux g_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 323.116274 0.364906 7286.063 41.08434992971 17.6651 0.0029 17.1871 0.0046 17.0006 0.0026
0.0 322.971395 0.364992 5450.9 28.338474352753 17.9832 0.0114 16.9109 0.0034 16.449 0.0021
0.0 323.025381 0.364798 3911.435 39.252474301255 18.3986 0.0059 18.0144 0.005 17.8501 0.0097
0.0 322.939761 0.364967 4469.635 31.920448324015 18.2182 0.0038 17.7793 0.0028 17.6122 0.0041
0.0 323.015762 0.368163 5014.447 62.954043396885 17.9971 0.0106 17.2758 0.0033 16.9993 0.0047
0.0 323.135954 0.369118 2925.3 32.753852052253 18.6629 0.003 17.8708 0.0027 17.5922 0.0032
0.0 322.944565 0.37066 11399.379 86.442683367313 17.1904 0.0053 16.4845 0.0068 16.1854 0.0039
0.0 323.160092 0.370725 2349.109 32.515578272463 18.9158 0.0058 18.2077 0.0037 17.9342 0.003
0.0 323.082955 0.371666 3106.955 30.097891070132 18.5805 0.0066 17.6215 0.0063 17.2272 0.0021
0.0 323.050605 0.374543 12010.796 42.703882192747 17.1043 0.0027 16.7596 0.0019 16.6362 0.0021
0.0 322.956055 0.374223 7739.283 30.580030571031 17.6331 0.0033 17.2891 0.0029 17.166 0.0041
0.0 323.154281 0.379658 3549.573 30.857249107942 18.4557 0.0049 18.0439 0.0053 17.8994 0.004
0.0 323.081674 0.381367 13769.491 32.50546542153 16.9288 0.0036 15.7341 0.0029 15.0778 0.0018
0.0 323.051696 0.385096 38285.92 31.814837427463 15.8515 0.0016 15.391 0.0024 15.2535 0.0022
0.0 322.948308 0.385458 11194.453 31.975228615529 17.2272 0.0042 16.6295 0.0034 16.4338 0.0021
0.0 323.148919 0.386221 15836.082 68.021227560382 16.8389 0.0037 16.2785 0.0035 16.0619 0.0014
0.0 323.076979 0.387671 12256.14 56.817860146292 17.1066 0.0064 16.7537 0.0069 16.6356 0.0026
0.0 322.953341 0.389223 11737.892 48.67896231143 17.1607 0.0085 16.6566 0.0034 16.4883 0.0023
0.0 323.02032 0.389897 4711.288 63.353364544488 18.1279 0.0055 17.7973 0.004 17.6787 0.0031
0.0 323.044356 0.391267 9465.04 51.349344379246 17.3772 0.0032 17.0014 0.0032 16.8833 0.0021
0.0 323.101342 0.394587 74178.502 31.387326112309 15.1816 0.0022 14.8343 0.0019 14.7096 0.0014
0.0 323.086999 0.39245 3284.279 33.678680499609 18.5535 0.0088 18.2155 0.0061 18.1004 0.0036
1.0 88.126098 15.749937 11664.721 113.47822314188 16.1955 0.0047 15.6905 0.0018 15.4784 0.0028
1.0 88.161605 15.750035 7404.09 110.6221700615 16.707 0.003 16.0344 0.0034 15.7646 0.002
1.0 88.044574 15.753417 19967.998 113.72451628166 15.5785 0.0048 15.132 0.0023 14.9383 0.0032
1.0 88.003277 15.753276 8453.594 115.48505329844 16.4615 0.0031 15.886 0.0011 15.6162 0.0038
1.0 88.01562 15.754773 15513.334 111.86727595185 15.7974 0.0028 15.0389 0.0017 14.6497 0.0026
1.0 88.063627 15.756708 11089.384 112.17374799792 16.2019 0.0004 15.7213 0.002 15.5147 0.0032
1.0 88.070726 15.756923 6016.722 99.317438993356 16.8896 0.0039 16.3496 0.0024 16.1137 0.0079
1.0 88.099197 15.75862 14527.443 106.67962842571 15.9501 0.0038 15.4736 0.0015 15.2652 0.0046
1.0 88.041677 15.758311 6974.176 106.36577079382 16.7205 0.0016 16.0057 0.0027 15.6585 0.0082
1.0 88.074616 15.758956 9171.152 119.89560728286 16.445 0.0032 15.793 0.0026 15.49 0.0016
1.0 88.175139 15.762703 24482.648 122.51012433718 15.412 0.0031 14.9726 0.0021 14.7988 0.0036
1.0 88.024682 15.763911 50599.515 112.66840514504 14.5678 0.0021 14.1353 0.0053 13.9005 0.0114
1.0 88.013275 15.768415 13512.867 112.99777094103 16.0361 0.0107 15.6473 0.0026 15.452 0.0032
1.0 88.197489 15.76828 8895.325 98.380899977005 16.488 0.0023 15.9238 0.002 15.6765 0.0058
1.0 88.036852 15.774794 38759.037 115.40066365192 14.871 0.0031 14.5241 0.0012 14.3915 0.0017
1.0 88.072863 15.77331 8806.328 112.82652542429 16.4753 0.0122 15.5773 0.0016 15.2168 0.0032
1.0 88.049016 15.776469 12505.449 112.76986926161 16.1077 0.0051 15.6087 0.0015 15.3832 0.0018
1.0 88.216932 15.776702 5913.646 108.51903097636 16.9176 0.005 16.4191 0.0033 16.2051 0.0095
1.0 88.007196 15.778964 14251.948 131.95295522446 15.8921 0.0029 14.7852 0.0015 14.2829 0.0027
1.0 88.020093 15.778298 12292.397 103.59932833941 16.0923 0.0036 15.7539 0.0019 15.6147 0.0016
1.0 88.222269 15.783997 36464.727 103.94714826019 14.918 0.0038 13.9306 0.0018 13.4761 0.0
1.0 88.068482 15.78422 30215.637 155.33566557456 15.1689 0.001 14.7624 0.0021 14.5939 0.001
1.0 88.012862 15.785826 42220.137 107.54759429744 14.7874 0.0032 14.4557 0.0015 14.3424 0.0095
1.0 88.122663 15.784389 5733.697 104.1188908532 16.9294 0.0077 16.4891 0.002 16.2713 0.0029
1.0 88.017964 15.787108 21634.632 107.66719544035 15.506 0.0018 14.9716 0.0015 14.7305 0.0022
1.0 88.145256 15.786963 10314.741 116.43107852584 16.3396 0.004 15.8888 0.0023 15.6872 0.0038
1.0 88.162671 15.786565 5782.618 100.2008533777 16.9191 0.0032 16.4155 0.0019 16.1857 0.0053
1.0 88.141156 15.790701 47917.272 99.306717172552 14.6521 0.0022 14.2064 0.0042 14.0149 0.0036
1.0 88.00405 15.790433 30323.48 111.0217108515 15.1348 0.0021 14.4303 0.002 14.1448 0.0012
1.0 88.123567 15.792294 7931.392 110.14058886783 16.6419 0.0028 16.1354 0.0027 15.8895 0.0031
1.0 88.218762 15.793545 10699.107 116.13305969152 16.3047 0.0023 15.904 0.0021 15.7331 0.0067
1.0 88.19256 15.796123 25128.181 111.86976618364 15.3703 0.0019 15.033 0.0041 14.9033 0.0032
1.0 88.083219 15.796789 10569.969 110.17280061439 16.3267 0.0028 15.9275 0.0019 15.7698 0.0061
1.0 88.151653 15.799277 9530.671 105.6103295922 16.3628 0.0032 15.7919 0.0013 15.5322 0.0052
1.0 88.129927 15.799726 6643.259 117.18239085996 16.7816 0.0048 16.4067 0.0026 16.2437 0.0056
1.0 88.096901 15.800594 8247.402 103.19492141796 16.5402 0.0039 16.1339 0.002 15.9822 0.009
1.0 88.103039 15.805272 47289.239 150.92077331419 14.6626 0.0064 14.2452 0.0015 14.0803 0.0037
1.0 88.102142 15.802668 9151.73 107.51791265109 16.4474 0.0066 16.0005 0.0021 15.8 0.0042
1.0 88.024879 15.805841 50236.971 116.07688570227 14.6102 0.0028 14.168 0.0035 14.0004 0.0032
1.0 88.136629 15.804799 8140.168 108.11574535279 16.5592 0.003 15.9323 0.0017 15.6798 0.0046
1.0 88.177151 15.80589 16236.978 114.29272934537 15.8519 0.0032 15.3871 0.0025 15.1957 0.0012
1.0 88.129631 15.808181 25752.552 101.16856401355 15.3081 0.0029 14.757 0.0027 14.5229 0.0031
1.0 88.097836 15.808499 10744.631 109.56764586091 16.2616 0.0034 15.7757 0.0016 15.5649 0.0067
1.0 88.227614 15.814471 32183.225 113.29245255589 15.0642 0.0035 14.4988 0.0031 14.2828 0.0047
1.0 88.00809 15.808776 13179.994 124.43291096969 16.0534 0.0025 15.6346 0.0011 15.4683 0.003
1.0 88.160904 15.809839 12088.405 110.2377467233 16.1583 0.0037 15.7778 0.002 15.6155 0.0022
1.0 88.121799 15.810707 8630.062 122.76117563551 16.4927 0.0033 15.9885 0.0029 15.7742 0.0055
1.0 88.142684 15.813491 17067.182 107.41514698521 15.7467 0.0017 15.1232 0.0019 14.8365 0.0074
1.0 88.024402 15.812995 6834.027 123.56583580825 16.7467 0.0046 16.249 0.0022 16.024 0.0015
1.0 88.010924 15.813401 12234.911 128.17895074994 16.1625 0.003 15.7553 0.0032 15.5671 0.0015
1.0 88.175286 15.814561 10107.53 118.34287586416 16.356 0.0056 15.9485 0.0016 15.7902 0.0109
1.0 88.166153 15.814667 7589.333 110.30363552927 16.663 0.0021 16.202 0.0009 15.9983 0.0035
1.0 88.0463 15.817233 66474.782 155.6864219891 14.3 0.0022 13.9528 0.004 13.7758 0.0044
1.0 88.079886 15.81694 30264.892 119.09636567422 15.1632 0.0034 14.9073 0.0035 14.8249 0.0023
1.0 88.10492 15.816463 13690.548 111.15996129405 16.0275 0.0022 15.7442 0.0031 15.6575 0.0087
