cat_id ra dec r_Swope_flux r_Swope_fluxerr g_PS gerr_PS r_PS rerr_PS i_PS ierr_PS
0.0 88.160932 15.809855 18343.161 1.0 16.1583 0.0037 15.7778 0.002 15.6155 0.0022
0.0 88.017702 15.807359 477.489 1.0 20.4411 0.0256 19.7544 0.008 19.4273 0.0139
0.0 88.193556 15.808646 1686.521 1.0 19.1727 0.0186 18.4256 0.0064 18.1225 0.0076
0.0 88.122842 15.808134 706.817 1.0 20.1815 0.0458 19.3887 0.0051 18.9871 0.0125
0.0 88.102167 15.810104 10770.078 1.0 16.9551 0.0056 16.3418 0.0032 16.0651 0.006
0.0 88.226296 15.809321 1501.062 1.0 19.7638 0.0249 18.5075 0.0098 17.7373 0.0061
0.0 88.107437 15.809663 1829.468 1.0 18.8553 0.0139 18.2947 0.0035 18.077 0.013
0.0 88.121831 15.810719 15037.426 1.0 16.4927 0.0033 15.9885 0.0029 15.7742 0.0055
0.0 88.206897 15.81073 3076.381 1.0 19.1399 0.0106 17.8421 0.006 16.8207 0.004
0.0 88.155848 15.810095 1485.701 1.0 18.9544 0.0102 18.4754 0.0073 18.2736 0.0079
0.0 88.213214 15.810146 717.13 1.0 20.6933 0.0316 19.4675 0.0085 18.9281 0.0109
0.0 88.023371 15.809439 547.516 1.0 20.5468 0.0187 19.5203 0.0085 19.054 0.0067
0.0 88.038277 15.810317 1813.927 1.0 19.0415 0.0084 18.1912 0.0051 17.8583 0.0183
0.0 88.231058 15.810757 809.444 1.0 20.0167 0.0148 19.116 0.0064 18.7239 0.0087
0.0 88.227594 15.814477 58034.679 1.0 15.0642 0.0035 14.4988 0.0031 14.2828 0.0047
0.0 88.087231 15.811531 2593.569 1.0 18.8314 0.0072 17.9094 0.0037 17.5197 0.0039
0.0 88.142708 15.813506 34670.445 1.0 15.7467 0.0017 15.1232 0.0019 14.8365 0.0074
0.0 88.024443 15.813036 11220.511 1.0 16.7467 0.0046 16.249 0.0022 16.024 0.0015
0.0 88.212856 15.812248 2805.756 1.0 18.2744 0.0114 17.7734 0.0035 17.5625 0.004
0.0 88.198712 15.811949 1128.579 1.0 19.2686 0.0107 18.7752 0.0041 18.5768 0.0081
0.0 88.010954 15.813434 17784.811 1.0 16.1625 0.003 15.7553 0.0032 15.5671 0.0015
0.0 88.102365 15.812781 2012.661 1.0 18.5867 0.0032 18.1212 0.0038 17.9146 0.0053
0.0 88.03753 15.812281 1618.174 1.0 19.5819 0.0095 18.341 0.004 17.7925 0.0142
0.0 88.176661 15.81201 870.452 1.0 19.3811 0.0169 19.0343 0.0072 18.8933 0.0106
0.0 88.218227 15.812656 1041.294 1.0 19.462 0.0085 18.9423 0.0108 18.7109 0.0003
0.0 88.097215 15.812444 768.893 1.0 19.7535 0.0194 19.1868 0.0072 18.9287 0.0129
0.0 88.209761 15.812635 1128.281 1.0 19.6763 0.0105 18.9463 0.0055 18.6178 0.0126
0.0 88.180631 15.814211 9930.328 1.0 16.8439 0.0049 16.4608 0.0029 16.3127 0.0054
0.0 88.166172 15.814663 12218.568 1.0 16.663 0.0021 16.202 0.0009 15.9983 0.0035
0.0 88.17529 15.814581 15826.424 1.0 16.356 0.0056 15.9485 0.0016 15.7902 0.0109
0.0 88.050802 15.814695 14624.416 1.0 16.8554 0.0023 15.998 0.0022 15.6006 0.0041
0.0 88.046329 15.817254 98465.838 1.0 14.3 0.0022 13.9528 0.004 13.7758 0.0044
0.0 88.171824 15.814817 6962.147 1.0 17.1374 0.0021 16.8282 0.0041 16.7024 0.0064
0.0 88.168054 15.814212 1173.795 1.0 19.1721 0.0209 18.7059 0.0036 18.5115 0.0049
0.0 88.189168 15.81415 437.909 1.0 21.1875 0.0753 19.9232 0.0215 18.6294 0.014
0.0 88.229964 15.815445 2752.497 1.0 18.3051 0.0082 17.8334 0.0029 17.5668 0.0099
0.0 88.104934 15.816479 18401.393 1.0 16.0275 0.0022 15.7442 0.0031 15.6575 0.0087
0.0 88.204982 15.815639 3684.05 1.0 18.7003 0.0074 17.5642 0.0043 17.0643 0.0007
0.0 88.079917 15.816975 40962.711 1.0 15.1632 0.0034 14.9073 0.0035 14.8249 0.0023
0.0 88.065168 15.815097 745.691 1.0 19.7416 0.0062 19.2171 0.0116 18.9978 0.0078
0.0 88.093355 15.816267 4807.8 1.0 18.0201 0.0064 17.2531 0.0026 16.8862 0.0051
0.0 88.04053 15.815589 1863.602 1.0 18.932 0.0088 18.2078 0.0037 17.883 0.0068
0.0 88.170823 15.816567 4782.629 1.0 18.0071 0.0035 17.2625 0.004 16.9173 0.0073
0.0 88.153199 15.816044 2346.373 1.0 18.6224 0.0079 17.9529 0.0034 17.6659 0.0048
0.0 88.222618 15.815756 996.104 1.0 19.9602 0.0251 18.9788 0.0073 18.5708 0.0124
0.0 88.077279 15.816404 1664.221 1.0 18.9583 0.0088 18.36 0.0049 18.0784 0.0053
0.0 88.157327 15.817288 6243.046 1.0 17.5136 0.0052 16.9382 0.0028 16.687 0.0007
0.0 88.16098 15.818563 26891.106 1.0 15.8388 0.0007 15.377 0.0017 15.1861 0.0033
0.0 88.248422 15.816202 465.176 1.0 21.1685 0.0514 19.9084 0.0097 19.2606 0.0135
0.0 88.138049 15.816698 847.378 1.0 20.3572 0.025 19.1844 0.0054 18.6377 0.0092
0.0 88.238017 15.816832 994.733 1.0 19.868 0.0189 18.9759 0.0059 18.5972 0.0077
0.0 88.074272 15.818055 4699.598 1.0 17.6946 0.0059 17.2255 0.0016 17.0149 0.0049
0.0 88.184138 15.817157 647.252 1.0 20.7053 0.0077 19.4376 0.0064 18.7393 0.0142
0.0 88.245842 15.817477 1020.034 1.0 19.6085 0.0044 18.8225 0.0069 18.477 0.0063
0.0 88.183072 15.819445 15656.257 1.0 16.7542 0.005 15.9597 0.003 15.5953 0.0046
0.0 88.179076 15.817372 513.792 1.0 20.5061 0.0221 19.7356 0.008 19.3333 0.0171
0.0 88.007509 15.819906 23895.288 1.0 15.8243 0.0051 15.4304 0.0014 15.2527 0.0019
0.0 88.070734 15.819431 6657.439 1.0 17.3764 0.0041 16.859 0.0023 16.6308 0.0037
0.0 88.073032 15.821931 44757.662 1.0 15.2562 0.0011 14.8071 0.0024 14.6262 0.0027
0.0 88.156242 15.819108 641.321 1.0 20.0346 0.0127 19.3145 0.011 18.998 0.0089
0.0 88.094357 15.81975 2026.593 1.0 18.7118 0.006 18.1912 0.0053 17.9567 0.0081
0.0 88.004987 15.82067 12634.854 1.0 16.578 0.0034 16.1171 0.0019 15.9163 0.0063
